"Anatomical Structures, Cell Types and Biomarkers Table for Bone Marrow v1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Muzlifah A. Haniffa; Laura Jardine; Sarah A. Teichmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-3927-2084; 0000-0003-4495-8205; 0000-0002-6294-6366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Elisa Laurenti; Bertie Gottgens; Andrea J. Radtke; Rebecca T. Beuschel; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-9917-9092;0000-0001-6302-5705; 0000-0003-4379-8967; 0000-0002-3882-457X; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,DOI: 10.1126/science.aah4573; 10.1126/science.aay3224; DOI: 10.1038/s41586-019-1652-y; DOI: 10.1016/j.exphem.2018.09.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM449.NWVK.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,5/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/2,CT/2/LABEL,CT/2/ID,All Gene Biomarkers,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/8,BGene/8/LABEL,BGene/8/ID,BGene/9,BGene/9/LABEL,BGene/9/ID,BGene/10,BGene/10/LABEL,BGene/10/ID,BGene/11,BGene/11/LABEL,BGene/11/ID,BGene/12,BGene/12/LABEL,BGene/12/ID,BGene/13,BGene/13/LABEL,BGene/13/ID,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/6,BProtein/6/LABEL,BProtein/6/ID,BProtein/7,BProtein/7/LABEL,BProtein/7/ID,BProtein/8,BProtein/8/LABEL,BProtein/8/ID,BProtein/9,BProtein/9/LABEL,BProtein/9/ID,BProtein/10,BProtein/10/LABEL,BProtein/10/ID,BProtein/11,BProtein/11/LABEL,BProtein/11/ID,BProtein/12,BProtein/12/LABEL,BProtein/12/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/DOI,REF/1/NOTES
Bone marrow,Bone marrow,UBERON:0002371,monocyte,monocyte,CL:0000576,CD16 monocyte,"CD14-low, CD16-positive monocyte",CL:0002396,"HES4, MS4A7, IFITM3, FCGR3A, CXCL16, LST1",HES4,,HGNC:24149,MS4A7,,HGNC:13378,IFITM3,,HGNC:5414,FCGR3A,,HGNC:3619,CXCL16,,HGNC:16642,LST1,,HGNC:14189,,,,,,,,,,,,,,,,,,,,,,CD34-,CD34,HGNC:1662,CD38+,CD38,HGNC:1667,CD10-,MME,HGNC:7154,CD117-,KIT,HGNC:6342,CLEC12Ahi,CLEC12A,HGNC:31713,CD123lo,IL3RA,HGNC:6012,CD64hi,FCGR1A,HGNC:3613,CD14-,CD14,HGNC:1628,CD300E-,CD300E,HGNC:28874,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,monocyte,monocyte,CL:0000576,promonocyte,promonocyte,CL:0000559,"CX3CR1, CCR2, HLA-DRA, S100A4, S100A6, CST3",CX3CR1,,HGNC:2558,CCR2,,HGNC:1603,HLA-DRA,,HGNC:1603,S100A4,,HGNC:10494,S100A6,,HGNC:10496,CST3,,HGNC:2475,,,,,,,,,,,,,,,,,,,,,,CD34-,CD34,HGNC:1662,CD38+,CD38,HGNC:1667,CD10-,MME,HGNC:7154,CD117-,KIT,HGNC:6342,CLEC12Ahi,CLEC12A,HGNC:31713,CD123lo,IL3RA,HGNC:6012,CD64hi,FCGR1A,HGNC:3613,CD14-,CD14,HGNC:1628,CD300E-,CD300E,HGNC:28874,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,monocyte,monocyte,CL:0000576,Myeloid progenitor (MOP),,,"SPI1, IRF8, CEBPB, KLF4",SPI1,,HGNC:11241,IRF8,,HGNC:5358,CEBPB,,HGNC:1834,KLF4,,HGNC:6348,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD3-,CD3E,HGNC:1674,CD19-,CD19,HGNC:1633,CD56-,NCAM1,HGNC:7656,CD34+,CD34,HGNC:1662,CD38+,CD38,HGNC:1667,CD10-,MME,HGNC:7154,CD123lo,IL3RA,HGNC:6012,CD135+,FLT3,HGNC:3765,CD45RA+,PTPRC,HGNC:9666,CLEC12Ahi,CLEC12A,HGNC:31713,CD64hi,FCGR1A,HGNC:3613,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,neutrophilic granulocyte,neutrophil,CL:0000775,myelocyte,myelocyte,CL:0002193,"LCN2, CAMP, LTF, STOM, CEACAM8",LCN2,,HGNC:6526,CAMP,,HGNC:1472,LTF,,HGNC:6720,STOM,,HGNC:3383,CEACAM8,,HGNC:1820,,,,,,,,,,,,,,,,,,,,,,,,,CD13+,ANPEP,HGNC:500,CD15+,FUT4,HGNC:4015,CD43+,SPN,HGNC:11249,CD66b+,CEACAM8,HGNC:1820,CD49d+,ITGA4,HGNC:6140,CD24-,CD24,HGNC:1645,CD11b-,ITGAM,HGNC:6149,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,neutrophilic granulocyte,neutrophil,CL:0000775,neutrophil,neutrophil,CL:0000775,"ITGAM, MMP9, PGLYRP1, ORM1, S100A12, FCN1",ITGAM,,HGNC:6149,MMP9,,HGNC:7176,PGLYRP1,,HGNC:8904,ORM1,,HGNC:8498,S100A12,,HGNC:10489,FCN1,,HGNC:3623,,,,,,,,,,,,,,,,,,,,,,CD13+,ANPEP,HGNC:500,CD15+,FUT4,HGNC:4015,CD43+,SPN,HGNC:11249,CD66b+,CEACAM8,HGNC:1820,CD49d-,ITGA4,HGNC:6140,CD11b+,ITGAM,HGNC:6149,CD35+,CR1,HGNC:2334,CD87+,PLAUR,HGNC:9053,CD16hi,FCGR3A,HGNC:3619,CD64-,FCGR1A,HGNC:3613,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,neutrophilic granulocyte,neutrophil,CL:0000775,promyelocyte,promyelocyte,CL:0000836,"MPO, ELANE, CTSG, PRTN3, AZU1",MPO,,HGNC:7218,ELANE,,HGNC:3309,CTSG,,HGNC:2532,PRTN3,,HGNC:9495,AZU1,,HGNC:913,,,,,,,,,,,,,,,,,,,,,,,,,CD13+,ANPEP,HGNC:500,CD15+,FUT4,HGNC:4015,CD43+,SPN,HGNC:11249,CD66b+,CEACAM8,HGNC:1820,CD49d-,ITGA4,HGNC:6140,CD11b+,ITGAM,HGNC:6149,CD35+,CR1,HGNC:2334,CD87+,PLAUR,HGNC:9053,CD16hi,FCGR3A,HGNC:3619,CD64-,FCGR1A,HGNC:3613,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,granulocyte,granulocyte,CL:0000094,eosinophil,eosinophil,CL:0000771,"HDC, CLC, CPA3, IL5RA, GATA2, MS4A3, HPGDS",HDC,,HGNC:4855,CLC,,HGNC:2014,CPA3,,HGNC:2298,IL5RA,,HGNC:6017,GATA2,,HGNC:4171,MS4A3,,HGNC:7317,HPGDS,,HGNC:17890,,,,,,,,,,,,,,,,,,,CD123+,IL3RA,HGNC:6012,CD125+,IL5RA,HGNC:6017,CCR3+,CCR3,HGNC:1604,FcER1A+,FCER1A,HGNC:3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,granulocyte,granulocyte,CL:0000094,basophil,basophil,CL:0000767,"HDC, CLC, CPA3, IL5RA, GATA2, MS4A3, IL3RA",HDC,,HGNC:4855,CLC,,HGNC:2014,CPA3,,HGNC:2298,IL5RA,,HGNC:6017,GATA2,,HGNC:4171,MS4A3,,HGNC:7317,IL3RA,,HGNC:6012,,,,,,,,,,,,,,,,,,,CD125+,IL5RA,HGNC:6017,CD127hi,IL7R,HGNC:6024,FcER1A+,FCER1A,HGNC:3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,granulocyte,granulocyte,CL:0000094,mast cell,mast cell,CL:0000097,"HDC, CLC, CPA3, IL5RA, GATA2, MS4A3, HPGDS, TPSAB1, KIT",HDC,,HGNC:4855,CLC,,HGNC:2014,CPA3,,HGNC:2298,IL5RA,,HGNC:6017,GATA2,,HGNC:4171,MS4A3,,HGNC:7317,HPGDS,,HGNC:17890,TPSAB1,,HGNC:12019,KIT,,HGNC:6342,,,,,,,,,,,,,CD125+,IL5RA,HGNC:6017,CD127hi,IL7R,HGNC:6024,FcER1A+,FCER1A,HGNC:3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,T lymphocytes,T cell,CL:0000084,CD4 naive,,,"CD3D, TRAC, TRBC1, IL7R, TRAT1, LTB, AQP3, CD40LG",CD3D,,HGNC:1673,TRAC,,HGNC:12029,TRBC1,,HGNC:12156,IL7R,,HGNC:6024,TRAT1,,HGNC:30698,LTB,,HGNC:6711,AQP3,,HGNC:636,CD40LG,,HGNC:11935,,,,,,,,,,,,,,,,CD3+,CD3E,HGNC:1674,CD4+,CD4,HGNC:1678,CD8-,CD8A,HGNC:1706,CD45RA-,PTPRC,HGNC:9666,CCR7+,CCR7,HGNC:1608,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,T lymphocytes,T cell,CL:0000084,CD4 T cell memory,,,"CD3D, TRAC, IFI6, LGALS3, PDZD8, ANXA2, CRIP1",CD3D,,HGNC:1673,TRAC,,HGNC:12029,IFI6,,HGNC:4054,LGALS3,,HGNC:6563,PDZD8,,HGNC:26974,ANXA2,,HGNC:537,CRIP1,,HGNC:2360,,,,,,,,,,,,,,,,,,,CD3+,CD3E,HGNC:1674,CD4+,CD4,HGNC:1678,CD8-,CD8A,HGNC:1706,CD45RA-,PTPRC,HGNC:9666,CCR7-,CCR7,HGNC:1608,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,T lymphocytes,T cell,CL:0000084,CD4 T cell memory,,,"CD3D, TRAC, IL4R, STAT1, MAL, SOCS1, IL2, ODC1, PSAT1, WARS, PYCR1, TNF, NME1",CD3D,,HGNC:1673,TRAC,,HGNC:12029,IL4R,,HGNC:6015,STAT1,,HGNC:11362,MAL,,HGNC:6817,SOCS1,,HGNC:19383,IL2,,HGNC:6001,ODC1,,HGNC:8109,PSAT1,,HGNC:19129,WARS,,HGNC:12729,PYCR1,,HGNC:9721,TNF,,HGNC:11892,NME1,,HGNC:7849,CD3+,CD3E,HGNC:1674,CD4+,CD4,HGNC:1678,CD8-,CD8A,HGNC:1706,CD45RA+,PTPRC,HGNC:9666,CCR7-,CCR7,HGNC:1608,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,T lymphocytes,T cell,CL:0000084,CD4 T cell effector memory CD45RA,,,"CD3D, TRAC, IL4R, STAT1, MAL, SOCS1, IL2, ODC1, PSAT1, WARS, PYCR1, TNF, NME1",CD3D,,HGNC:1673,TRAC,,HGNC:12029,IL4R,,HGNC:6015,STAT1,,HGNC:11362,MAL,,HGNC:6817,SOCS1,,HGNC:19383,IL2,,HGNC:6001,ODC1,,HGNC:8109,PSAT1,,HGNC:19129,WARS,,HGNC:12729,PYCR1,,HGNC:9721,TNF,,HGNC:11892,NME1,,HGNC:7849,CD3+,CD3E,HGNC:1674,CD4-,CD4,HGNC:1678,CD8-,CD8A,HGNC:1706,CD45RA+,PTPRC,HGNC:9666,CCR7+,CCR7,HGNC:1608,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,T lymphocytes,T cell,CL:0000084,CD8 naive,,,"CD3D, TRAC, AQP3, IL7R",CD3D,,HGNC:1673,TRAC,,HGNC:12029,AQP3,,HGNC:636,IL7R,,HGNC:6024,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD3+,CD3E,HGNC:1674,CD4-,CD4,HGNC:1678,CD8-,CD8A,HGNC:1706,CD45RA-,PTPRC,HGNC:9666,CCR7+,CCR7,HGNC:1608,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,T lymphocytes,T cell,CL:0000084,CD8 T cell memory,,,"PDZD8, CXCR6, PRF1, CRIP1, ITGA1, GZMB",PDZD8,,HGNC:26974,CXCR6,,HGNC:16647,PRF1,,HGNC:9360,CRIP1,,HGNC:2360,ITGA1,,HGNC:6134,GZMB,,HGNC:4709,,,,,,,,,,,,,,,,,,,,,,CD3+,CD3E,HGNC:1674,CD4-,CD4,HGNC:1678,CD8-,CD8A,HGNC:1706,CD45RA-,PTPRC,HGNC:9666,CCR7-,CCR7,HGNC:1608,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,T lymphocytes,T cell,CL:0000084,CD8 T cell effector memory,,,"CD3D, TRAC, CCL3, CCL4, HOPX, GZMB",CD3D,,HGNC:1673,TRAC,,HGNC:12029,CCL3,,HGNC:10627,CCL4,,HGNC:10630,HOPX,,HGNC:24961,GZMB,,HGNC:4709,,,,,,,,,,,,,,,,,,,,,,CD3+,CD3E,HGNC:1674,CD4-,CD4,HGNC:1678,CD8-,CD8A,HGNC:1706,CD45RA+,PTPRC,HGNC:9666,CCR7-,CCR7,HGNC:1608,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,T lymphocytes,T cell,CL:0000084,CD8 T cell effector memory CD45RA,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,"CD3D, TRAC, PRF1, HOPX, NKG7, GNLY, IFIT3, KLRD1, CCL5",CD3D,,HGNC:1673,TRAC,,HGNC:12029,PRF1,,HGNC:9360,HOPX,,HGNC:24961,NKG7,,HGNC:7830,GNLY,,HGNC:4414,IFIT3,,HGNC:5411,KLRD1,,HGNC:6378,CCL5,,HGNC:10632,,,,,,,,,,,,,CD3+,CD3E,HGNC:1674,CD8+,CD8A,HGNC:1706,CD4-,CD4,HGNC:1678,CD27+/-,CD27,HGNC:11922,CD38+,CD38,HGNC:1667,CD45RA+/-,PTPRC,HGNC:9666,CD62L+/-,SELL,HGNC:10720,CCR7+/-,CCR7,HGNC:1608,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,T lymphocytes,T cell,CL:0000084,mature CD8 T cell,,,"CCL5, GZMH, IL32, CD8A, DUSP2, KLRG1, TRGC2, GZMK",CCL5,,HGNC:10632,GZMH,,HGNC:4710,IL32,,HGNC:16830,CD8A,,HGNC:1706,DUSP2,,HGNC:3068,KLRG1,,HGNC:6380,TRGC2,,HGNC:12276,GZMK,,HGNC:4711,,,,,,,,,,,,,,,,CD3-,CD3E,HGNC:1674,CD19-,CD19,HGNC:1633,CD20-,MS4A1,HGNC:7315,CD56hi,NCAM1,HGNC:7656,CD16-,FCGR3A,HGNC:3619,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,NK lymphocytes,mature NK T cell,CL:0000814,CD56 bright Natural Killer,"CD16-negative, CD56-bright natural killer cell",CL:0000938,"TRDC, KLRB1, CLIC3, CST7, XCL1, GZMK",TRDC,,HGNC:12253,KLRB1,,HGNC:6373,CLIC3,,HGNC:2064,CST7,,HGNC:2479,XCL1,,HGNC:10645,GZMK,,HGNC:4711,,,,,,,,,,,,,,,,,,,,,,CD3-,CD3E,HGNC:1674,CD19-,CD19,HGNC:1633,CD20-,MS4A1,HGNC:7315,CD56+,NCAM1,HGNC:7656,CD16+,FCGR3A,HGNC:3619,CD57+/-,B3GAT1,HGNC:921,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,NK lymphocytes,mature NK T cell,CL:0000814,mature Natural killer,mature natural killer cell,CL:0000824,"TRDC, KLRB1, CLIC3, CST7, GZMA, GZMB, PRF1, FCGR3A",TRDC,,HGNC:12253,KLRB1,,HGNC:6373,CLIC3,,HGNC:2064,CST7,,HGNC:2479,GZMA,,HGNC:4708,GZMB,,HGNC:4709,PRF1,,HGNC:9360,FCGR3A,,HGNC:3619,,,,,,,,,,,,,,,,CD3+,CD3E,HGNC:1674,CD4+/-,CD4,HGNC:1678,CD8+/-,CD8A,HGNC:1706,CD25+,IL2RA,HGNC:6008,FOXP3+,FOXP3,HGNC:6106,CTLA4+,CTLA4,HGNC:2505,,,,,,,,,,,,,,,,,,,,,,,,
Bone marrow,Bone marrow,UBERON:0002371,T lymphocytes,T cell,CL:0000084,T regulatory,regulatory T cell,CL:0000815,"TRAC, TRBC1, IL7R, TRAT1, LTB, AQP3, FOXP3, TNFRSF25, TIGIT, CCR6, TNFRSF4",TRAC,,HGNC:12029,TRBC1,,HGNC:12156,IL7R,,HGNC:6024,TRAT1,,HGNC:30698,LTB,,HGNC:6711,AQP3,,HGNC:636,FOXP3,,HGNC:6106,TNFRSF25,,HGNC:11910,TIGIT,,HGNC:26838,CCR6,,HGNC:1607,TNFRSF4,,HGNC:11918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
