Description	Ensembl GeneIDs
La ribonucleoprotein 1, translational regulator	ENSMUSG00000037331
OTU domain containing 3	ENSMUSG00000041161
Rho GTPase activating protein 8	ENSMUSG00000078954
exonuclease 5	ENSMUSG00000028629
protocadherin 18	ENSMUSG00000037892
TBK1 binding protein 1	ENSMUSG00000038517
exportin, tRNA (nuclear export receptor for tRNAs)	ENSMUSG00000034667
RIKEN cDNA 3110082I17 gene	ENSMUSG00000053553
signal peptide peptidase like 2B	ENSMUSG00000035206
family with sequence similarity 118, member A	ENSMUSG00000022434
zinc finger protein 942	ENSMUSG00000071267
secondary ossification center associated regulator of chondrocyte maturation	ENSMUSG00000026258
prolactin family 8, subfamily a, member 1	ENSMUSG00000019756
Ras association (RalGDS/AF-6) domain family member 6	ENSMUSG00000029370
MRG/MORF4L binding protein	ENSMUSG00000027569
microRNA 674	ENSMUSG00000076376
CEA cell adhesion molecule 5	ENSMUSG00000008789
coiled-coil domain containing 18	ENSMUSG00000056531
calcium and integrin binding family member 4	ENSMUSG00000053194
GC-rich promoter binding protein 1	ENSMUSG00000032745
DNA-damage-inducible transcript 4-like	ENSMUSG00000046818
ciliary associated calcium binding coiled-coil 1	ENSMUSG00000019945
VPS50 EARP/GARPII complex subunit	ENSMUSG00000001376
coiled-coil domain containing 103	ENSMUSG00000020930
Rho-related BTB domain containing 3	ENSMUSG00000021589
tetratricopeptide repeat domain 29	ENSMUSG00000037101
calreticulin 3	ENSMUSG00000019732
ubiquitin-conjugating enzyme E2D 2B	ENSMUSG00000063447
clathrin heavy chain linker domain containing 1	ENSMUSG00000020461
protease-associated domain containing 1	ENSMUSG00000030008
coiled-coil domain containing 30	ENSMUSG00000028637
solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31	ENSMUSG00000069041
protease, serine 44	ENSMUSG00000032493
inositol 1,4,5-triphosphate receptor interacting protein-like 1	ENSMUSG00000074825
neuronal pentraxin receptor	ENSMUSG00000022421
actin-related protein T2	ENSMUSG00000051276
actin-related protein T1	ENSMUSG00000046615
collagen, type XX, alpha 1	ENSMUSG00000016356
phosphatase, orphan 2	ENSMUSG00000027088
testis expressed 33	ENSMUSG00000062154
discoidin, CUB and LCCL domain containing 2	ENSMUSG00000035107
BPI fold containing family A, member 3	ENSMUSG00000027482
testis, prostate and placenta expressed	ENSMUSG00000090206
NME/NM23 family member 8	ENSMUSG00000041138
acidic residue methyltransferase 1	ENSMUSG00000061759
centriole, cilia and spindle associated protein	ENSMUSG00000031971
prospero homeobox 2	ENSMUSG00000042320
testis expressed 35	ENSMUSG00000026592
heat shock protein 12A	ENSMUSG00000025092
zinc finger protein 763	ENSMUSG00000067430
RIKEN cDNA 1700067K01 gene	ENSMUSG00000046408
aldehyde dehydrogenase 3 family, member B3	ENSMUSG00000037263
ring finger protein 38	ENSMUSG00000035696
kinesin family member 2B	ENSMUSG00000046755
spermatogenesis associated 18	ENSMUSG00000029155
IWS1, SUPT6 interacting protein	ENSMUSG00000024384
protease, serine 59	ENSMUSG00000029883
mirror-image polydactyly 1	ENSMUSG00000047022
spermatogenesis associated multipass transmembrane protein 3	ENSMUSG00000035454
methyl-CpG binding domain protein 3-like 1	ENSMUSG00000038691
phosphatidylethanolamine binding protein 4	ENSMUSG00000022085
microRNA 488	ENSMUSG00000070103
microRNA 467b	ENSMUSG00000119508
spermatogenesis associated glutamate (E)-rich protein 4B	ENSMUSG00000048703
microRNA 671	ENSMUSG00000076387
microRNA 592	ENSMUSG00000076067
microRNA 705	ENSMUSG00000076012
microRNA 709	ENSMUSG00000076144
microRNA 490	ENSMUSG00000070075
microRNA 675	ENSMUSG00000076275
microRNA 491	ENSMUSG00000070077
microRNA 702	ENSMUSG00000076240
microRNA 708	ENSMUSG00000076143
microRNA 467a-1	ENSMUSG00000119247
microRNA 706	ENSMUSG00000076217
microRNA 216b	ENSMUSG00000076318
microRNA 449c	ENSMUSG00000076146
nudix hydrolase 16 like 2	ENSMUSG00000032566
testis-specific serine kinase 5	ENSMUSG00000060794
dual specificity phosphatase 21	ENSMUSG00000025043
vestigial like family member 3	ENSMUSG00000091243
calmodulin-lysine N-methyltransferase	ENSMUSG00000071037
RIKEN cDNA 1700001O22 gene	ENSMUSG00000044320
MARVEL (membrane-associating) domain containing 3	ENSMUSG00000001672
reproductive homeobox 13	ENSMUSG00000050197
polymorphic derived intron containing	ENSMUSG00000037247
RIKEN cDNA 1810009J06 gene	ENSMUSG00000094808
CHD1 helical C-terminal domain containing 1	ENSMUSG00000018479
prostaglandin E synthase 3 like	ENSMUSG00000097487
calpain 9	ENSMUSG00000031981
membrane-spanning 4-domains, subfamily A, member 6C	ENSMUSG00000079419
SPNS lysolipid transporter 1, lysophospholipid	ENSMUSG00000030741
calcium binding protein 4	ENSMUSG00000024842
THO complex 3	ENSMUSG00000025872
defensin beta 30	ENSMUSG00000075571
sulfotransferase family, cytosolic, 6B, member 1	ENSMUSG00000038045
REC114 meiotic recombination protein	ENSMUSG00000074269
WD repeat domain 75	ENSMUSG00000025995
proteasome subunit alpha 8	ENSMUSG00000036743
zinc finger and BTB domain containing 8a	ENSMUSG00000028807
tRNA methyltransferase 11	ENSMUSG00000019792
autophagy related 16-like 2 (S. cerevisiae)	ENSMUSG00000047767
biogenesis of lysosomal organelles complex-1, subunit 2	ENSMUSG00000057506
GLI pathogenesis-related 1 (glioma)	ENSMUSG00000056888
ciliogenesis and planar polarity effector 1	ENSMUSG00000039801
NADH:ubiquinone oxidoreductase complex assembly factor 7	ENSMUSG00000024082
protein phosphatase 2, regulatory subunit A, beta	ENSMUSG00000032058
multivesicular body subunit 12A	ENSMUSG00000031813
dermokine	ENSMUSG00000060962
cystatin E/M	ENSMUSG00000024846
RIKEN cDNA 1110017D15 gene	ENSMUSG00000028441
late cornified envelope 1A2	ENSMUSG00000068890
SH3 domain binding glutamic acid-rich protein-like 3	ENSMUSG00000028843
methylmalonyl CoA epimerase	ENSMUSG00000033429
zinc finger protein 383	ENSMUSG00000099689
FCF1 rRNA processing protein	ENSMUSG00000021243
bublin coiled coil protein	ENSMUSG00000039195
HAUS augmin-like complex, subunit 7	ENSMUSG00000031371
chibby family member 1, beta catenin antagonist	ENSMUSG00000022428
mannosidase, alpha, class 2C, member 1	ENSMUSG00000032295
shieldin complex subunit 1	ENSMUSG00000044991
glutamate decarboxylase-like 1	ENSMUSG00000056880
proline rich 27	ENSMUSG00000002240
small nucleolar RNA host gene 6	ENSMUSG00000098234
protein phosphatase 1, regulatory subunit 21	ENSMUSG00000034709
polymerase (DNA-directed), delta interacting protein 3	ENSMUSG00000041815
transmembrane protein 198b	ENSMUSG00000047090
DDB1 and CUL4 associated factor 4	ENSMUSG00000021222
eukaryotic translation initiation factor 3, subunit K	ENSMUSG00000053565
family with sequence similarity 98, member C	ENSMUSG00000030590
ATPase, H+ transporting, lysosomal V1 subunit D	ENSMUSG00000021114
solute carrier family 35, member B2	ENSMUSG00000037089
ankyrin repeat domain 45	ENSMUSG00000044835
ankyrin repeat domain 42	ENSMUSG00000041343
family with sequence similarity 110, member A	ENSMUSG00000027459
DNA segment, Chr 3, ERATO Doi 751, expressed	ENSMUSG00000025766
spermatogenesis associated 48	ENSMUSG00000020191
family with sequence similarity 161, member A	ENSMUSG00000049811
zinc finger, DBF-type containing 2	ENSMUSG00000027520
transmembrane protein 202	ENSMUSG00000049526
Rho GTPase activating protein 18	ENSMUSG00000039031
LYR motif containing 1	ENSMUSG00000030922
hyaluronan and proteoglycan link protein 2	ENSMUSG00000004894
family with sequence similarity 151, member B	ENSMUSG00000034334
OTU domain containing 4	ENSMUSG00000036990
RIKEN cDNA 4930444F02 gene	
hect domain and RLD 3	ENSMUSG00000029804
pleckstrin and Sec7 domain containing 2	ENSMUSG00000024347
janus kinase and microtubule interacting protein 3	ENSMUSG00000056856
ankyrin repeat and BTB domain containing 3	ENSMUSG00000020042
arylsulfatase G	ENSMUSG00000020604
solute carrier family 25, member 27	ENSMUSG00000023912
RAP2B, member of RAS oncogene family	ENSMUSG00000036894
raftlin family member 2	ENSMUSG00000025978
FCH domain only 1	ENSMUSG00000070000
PHD finger protein 19	ENSMUSG00000026873
TRAF3 interacting protein 1	ENSMUSG00000034292
copine IV	ENSMUSG00000032564
glyoxylate reductase 1 homolog (Arabidopsis)	ENSMUSG00000022536
male specific lethal 1	ENSMUSG00000052915
Ras and Rab interactor 2	ENSMUSG00000001768
short chain dehydrogenase/reductase family 42E, member 1	ENSMUSG00000034308
nucleolar protein 9	ENSMUSG00000028948
Nfat activating molecule with ITAM motif 1	ENSMUSG00000058099
DNA damage-induced apoptosis suppressor	ENSMUSG00000030641
PHD finger protein 8, pseudogene	ENSMUSG00000023350
peroxisomal biogenesis factor 26	ENSMUSG00000067825
transcription termination factor, RNA polymerase II	ENSMUSG00000033222
six transmembrane epithelial antigen of prostate 2	ENSMUSG00000015653
tetratricopeptide repeat domain 21A	ENSMUSG00000032514
RIKEN cDNA 4931406B18 gene	ENSMUSG00000013353
ankyrin repeat, SAM and basic leucine zipper domain containing 1	ENSMUSG00000010796
lamin tail domain containing 1	ENSMUSG00000054966
centrosomal protein 350	ENSMUSG00000033671
solute carrier family 7, (cationic amino acid transporter, y+ system) member 13	ENSMUSG00000041052
thioesterase superfamily member 7	ENSMUSG00000055312
progestin and adipoQ receptor family member V	ENSMUSG00000032278
N-acetylneuraminate pyruvate lyase	ENSMUSG00000042684
tight junction associated protein 1	ENSMUSG00000012296
processing of precursor 7, ribonuclease P family, (S. cerevisiae)	ENSMUSG00000029715
CXXC motif containing zinc binding protein	ENSMUSG00000028608
cyclic AMP-regulated phosphoprotein, 21	ENSMUSG00000032503
solute carrier family 35, member A5	ENSMUSG00000022664
nebulette	ENSMUSG00000053702
golgi associated, gamma adaptin ear containing, ARF binding protein 2	ENSMUSG00000030872
DDB1 and CUL4 associated factor 6	ENSMUSG00000026571
poly(A)-specific ribonuclease (deadenylation nuclease)	ENSMUSG00000022685
RNA binding motif protein 19	ENSMUSG00000029594
ubiquitin specific peptidase 16	ENSMUSG00000025616
carnitine O-octanoyltransferase	ENSMUSG00000003623
peptidase inhibitor 16	ENSMUSG00000024011
zinc finger protein 263	ENSMUSG00000022529
transmembrane protein 43	ENSMUSG00000030095
armadillo repeat containing 8	ENSMUSG00000032468
keratin 80	ENSMUSG00000037185
dimethylglycine dehydrogenase precursor	ENSMUSG00000042102
SAM and SH3 domain containing 3	ENSMUSG00000031101
ring finger protein (C3H2C3 type) 6	ENSMUSG00000029634
SMG8 nonsense mediated mRNA decay factor	ENSMUSG00000020495
cytochrome P450, family 2, subfamily s, polypeptide 1	ENSMUSG00000040703
SEC14-like lipid binding 1	ENSMUSG00000020823
transmembrane 9 superfamily member 1	ENSMUSG00000002320
clustered mitochondria (cluA/CLU1) homolog	ENSMUSG00000020741
solute carrier family 35, member F5	ENSMUSG00000026342
STRA6-like	ENSMUSG00000028327
unkempt family like zinc finger	ENSMUSG00000015127
acyl-CoA thioesterase 12	ENSMUSG00000021620
cap methyltransferase 1	ENSMUSG00000024019
Josephin domain containing 1	ENSMUSG00000022426
acyl-Coenzyme A binding domain containing 5	ENSMUSG00000026781
nuclear transcription factor, X-box binding 1	ENSMUSG00000028423
F-box and leucine-rich repeat protein 22	ENSMUSG00000050503
nudix hydrolase 9	ENSMUSG00000029310
zinc finger, DHHC domain containing 16	ENSMUSG00000025157
gametocyte specific factor 1	ENSMUSG00000022487
transglutaminase 5	ENSMUSG00000053675
serine/threonine kinase 40	ENSMUSG00000042608
glycerophosphocholine phosphodiesterase 1	ENSMUSG00000027346
PPARGC1 and ESRR induced regulator, muscle 1	ENSMUSG00000078486
coiled-coil domain containing 3	ENSMUSG00000026676
prolactin family 8, subfamily a, member 81	ENSMUSG00000021346
phosphatase and actin regulator 3	ENSMUSG00000027525
exocyst complex component 3-like 4	ENSMUSG00000021280
actin related protein 2/3 complex, subunit 5-like	ENSMUSG00000026755
tetratricopeptide repeat domain 27	ENSMUSG00000024078
general transcription factor II E, polypeptide 1 (alpha subunit)	ENSMUSG00000022828
deltex 2, E3 ubiquitin ligase	ENSMUSG00000004947
vitrin	ENSMUSG00000024076
KH domain containing 4, pre-mRNA splicing factor	ENSMUSG00000028060
centrosomal protein 97	ENSMUSG00000022604
eukaryotic translation initiation factor 4E nuclear import factor 1	ENSMUSG00000020454
exportin 6	ENSMUSG00000000131
acyl-CoA synthetase long-chain family member 3	ENSMUSG00000032883
signal-induced proliferation-associated 1 like 3	ENSMUSG00000030583
RIKEN cDNA 1700017B05 gene	ENSMUSG00000032300
RNA binding motif protein 26	ENSMUSG00000022119
testis expressed 37	ENSMUSG00000051896
septin 14	ENSMUSG00000034219
progestin and adipoQ receptor family member VIII	ENSMUSG00000025931
ligand of ATE1	ENSMUSG00000053783
tubulin, gamma complex associated protein 2	ENSMUSG00000025474
mitochondrial transcription termination factor 2	ENSMUSG00000049038
IQ motif containing E	ENSMUSG00000036555
chondroitin polymerizing factor	ENSMUSG00000032997
SLX4 interacting protein	ENSMUSG00000027281
chitobiase	ENSMUSG00000028189
galactose-4-epimerase, UDP	ENSMUSG00000028671
leucine rich repeat containing 2	ENSMUSG00000032495
ankyrin repeat domain 9	ENSMUSG00000037904
armadillo repeat containing 1	ENSMUSG00000027599
GPN-loop GTPase 1	ENSMUSG00000064037
smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans)	ENSMUSG00000028409
tetraspanin 17	ENSMUSG00000025875
ring finger protein 138, retrogene 1	ENSMUSG00000083695
IQ motif containing F1	ENSMUSG00000066383
apoptosis, caspase activation inhibitor	ENSMUSG00000003604
ubiquitin specific peptidase 20	ENSMUSG00000026854
MAGE family member B5	ENSMUSG00000061392
cysteine-rich hydrophobic domain 2	ENSMUSG00000029229
spermatogenesis and centriole associated 1	ENSMUSG00000049653
TBC1 domain family, member 21	ENSMUSG00000036244
potassium channel modulatory factor 1	ENSMUSG00000055239
spermatid maturation 1	ENSMUSG00000041165
coiled-coil domain containing 182	ENSMUSG00000034031
myotubularin related protein 3	ENSMUSG00000034354
protease, serine 46	ENSMUSG00000049719
oxysterol binding protein 2	ENSMUSG00000020435
ring finger protein 145	ENSMUSG00000019189
iron-sulfur cluster assembly 2	ENSMUSG00000021241
methyltransferase like 23	ENSMUSG00000090266
WD repeat domain 33	ENSMUSG00000024400
clathrin, light polypeptide (Lcb)	ENSMUSG00000047547
DnaJ heat shock protein family (Hsp40) member C14	ENSMUSG00000025354
RAN binding protein 10	ENSMUSG00000037415
X-ray repair complementing defective repair in Chinese hamster cells 3	ENSMUSG00000021287
paralemmin 3	ENSMUSG00000047986
S-adenosylhomocysteine hydrolase-like 2	ENSMUSG00000029772
MTOR associated protein, eak-7 homolog	ENSMUSG00000034105
FHF complex subunit HOOK interacting protein 1B	ENSMUSG00000044465
DEAD box helicase 23	ENSMUSG00000003360
zinc finger protein 84	ENSMUSG00000046185
leucine-rich repeats and guanylate kinase domain containing	ENSMUSG00000056215
microtubule associated tyrosine carboxypeptidase 1	ENSMUSG00000014837
RIKEN cDNA 4931414P19 gene	ENSMUSG00000022179
centrosomal protein 57	ENSMUSG00000031922
sperm associated antigen 17	ENSMUSG00000027867
LON peptidase N-terminal domain and ring finger 3	ENSMUSG00000016239
meiotic double-stranded break formation protein 1	ENSMUSG00000068117
golgi coiled coil 1	ENSMUSG00000029708
myosin XVIIIb	ENSMUSG00000072720
heat shock transcription factor 2 binding protein	ENSMUSG00000002076
ubiquitin-associated protein 2-like	ENSMUSG00000042520
adaptor-related protein complex 5, mu 1 subunit	ENSMUSG00000036291
RecQ mediated genome instability 1	ENSMUSG00000035367
RIKEN cDNA 4932438H23 gene	ENSMUSG00000039851
dipeptidylpeptidase 8	ENSMUSG00000032393
sperm antigen with calponin homology and coiled-coil domains 1-like	ENSMUSG00000033444
RIKEN cDNA 4933407K13 gene	ENSMUSG00000087396
zinc finger protein 819	ENSMUSG00000055102
telomere repeat binding bouquet formation protein 2	ENSMUSG00000027229
EF-hand domain (C-terminal) containing 2	ENSMUSG00000025038
outer dynein arm complex subunit 4	ENSMUSG00000006784
hyaluronoglucosaminidase 6	ENSMUSG00000029679
tubulin tyrosine ligase-like family, member 11	ENSMUSG00000026885
phospholipid phosphatase 6	ENSMUSG00000040105
GLE1 RNA export mediator (yeast)	ENSMUSG00000019715
tandem C2 domains, nuclear	ENSMUSG00000021187
polymerase (RNA) III (DNA directed) polypeptide C	ENSMUSG00000028099
transketolase-like 2	ENSMUSG00000025519
transmembrane channel-like gene family 5	ENSMUSG00000030650
ELL associated factor 1	ENSMUSG00000021890
CFAP20 domain containing	ENSMUSG00000021747
MAGE family member C2	ENSMUSG00000045330
clavesin 1	ENSMUSG00000041216
c-Maf inducing protein	ENSMUSG00000034390
solute carrier organic anion transporter family, member 6c1	ENSMUSG00000026331
prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)	ENSMUSG00000006675
solute carrier family 9, subfamily B (NHA1, cation proton antiporter 1), member 1	ENSMUSG00000050150
phosphatidylglycerophosphate synthase 1	ENSMUSG00000017715
cilia and flagella associated protein 53	ENSMUSG00000035394
NOL1/NOP2/Sun domain family member 6	ENSMUSG00000026707
exocyst complex component 3-like 2	ENSMUSG00000011263
zinc finger SWIM-type containing 5	ENSMUSG00000033948
pseudouridylate synthase 10	ENSMUSG00000020280
hyaluronoglucosaminidase 5	ENSMUSG00000029678
centrosomal protein 72	ENSMUSG00000021572
sperm tail PG rich repeat containing 3	ENSMUSG00000036770
RIKEN cDNA 4933427D14 gene	ENSMUSG00000020807,ENSMUSG00000107877
sorting nexin 29	ENSMUSG00000071669
sorting nexin 11	ENSMUSG00000020876
sterile alpha motif domain containing 4	ENSMUSG00000021838
interferon induced transmembrane protein 7	
leucine rich repeat containing 71	ENSMUSG00000023084
oxysterol binding protein-like 10	ENSMUSG00000040875
leucine rich repeat containing 15	ENSMUSG00000052316
MEF2 activating motif and SAP domain containing transcriptional regulator	ENSMUSG00000042918
kelch repeat and BTB (POZ) domain containing 13	ENSMUSG00000054978
tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	ENSMUSG00000024811
golgi reassembly stacking protein 1	ENSMUSG00000032513
family with sequence similarity 53, member A	ENSMUSG00000037339
leucine rich repeat containing 17	ENSMUSG00000039883
cytochrome P450, family 2, subfamily j, polypeptide 9	ENSMUSG00000015224
protein phosphatase 4, regulatory subunit 4	ENSMUSG00000021209
microrchidia 2A	ENSMUSG00000034543
family with sequence similarity 234, member B	ENSMUSG00000030207
mitochondrial genome maintenance exonuclease 1	ENSMUSG00000027424
GDNF-inducible zinc finger protein 1	ENSMUSG00000027439
gasdermin C4	ENSMUSG00000055748
MAU2 sister chromatid cohesion factor	ENSMUSG00000031858
NIPA-like domain containing 3	ENSMUSG00000028803
thymocyte selection associated family member 3	ENSMUSG00000024105
GTPase, very large interferon inducible 1	ENSMUSG00000045868
ELOVL family member 7, elongation of long chain fatty acids (yeast)	ENSMUSG00000021696
NK6 homeobox 3	ENSMUSG00000063672
tetratricopeptide repeat domain 17	ENSMUSG00000027194
zinc finger with KRAB and SCAN domains 1	ENSMUSG00000029729
potassium channel, subfamily K, member 16	ENSMUSG00000023387
laeverin	ENSMUSG00000024481
galactosidase, beta 1-like	ENSMUSG00000026200
pyridine nucleotide-disulphide oxidoreductase domain 2	ENSMUSG00000060224
signal peptide peptidase 3	ENSMUSG00000029550
kelch repeat and BTB (POZ) domain containing 12	ENSMUSG00000033182
CDP-diacylglycerol synthase 1	ENSMUSG00000029330
mitochondrial ribosomal protein L47	ENSMUSG00000037531
CD200 receptor 3	ENSMUSG00000036172
ATP-binding cassette, sub-family B (MDR/TAP), member 8	ENSMUSG00000028973
osteoclast stimulatory transmembrane protein	ENSMUSG00000027670
secernin 3	ENSMUSG00000008226
transmembrane protein 81	ENSMUSG00000048174
sedoheptulokinase	ENSMUSG00000005951
terminal nucleotidyltransferase 5C	ENSMUSG00000044468
splA/ryanodine receptor domain and SOCS box containing 1	ENSMUSG00000039911
S100P binding protein	ENSMUSG00000040928
carboxypeptidase A5	ENSMUSG00000029788
protein-O-mannose kinase	ENSMUSG00000037251
testis expressed 55	ENSMUSG00000022798
dynein regulatory complex subunit 3	ENSMUSG00000056598
break repair meiotic recombinase recruitment factor 1	ENSMUSG00000008129
zinc finger prtoein 943	ENSMUSG00000053347
speedy/RINGO cell cycle regulator family, member E4A	ENSMUSG00000039296
patched domain containing 3	ENSMUSG00000039198
WD repeat domain 35	ENSMUSG00000066643
leucine rich repeat containing 74B	ENSMUSG00000022759
solute carrier family 25, member 54	ENSMUSG00000027880
tudor domain containing 9	ENSMUSG00000054003
TBC1 domain family, member 30	ENSMUSG00000052302
coiled-coil domain containing 7A	ENSMUSG00000025808
dynein axonemal assembly factor 6	ENSMUSG00000026063
tubulin tyrosine ligase-like family, member 9	ENSMUSG00000074673
WBP2 N-terminal like	ENSMUSG00000022455
spermatogenesis associated 17	ENSMUSG00000026611
sorting nexin 16	ENSMUSG00000027534
transmembrane protein 114	ENSMUSG00000022715
SET domain without mariner transposase fusion	ENSMUSG00000034639
syntaxin 11	ENSMUSG00000039232
PCF11 cleavage and polyadenylation factor subunit	ENSMUSG00000041328
C2 calcium-dependent domain containing 5	ENSMUSG00000030279
SLAM family member 8	ENSMUSG00000053318
tRNA methyltransferase O	ENSMUSG00000028331
RAB3A interacting protein (rabin3)-like 1	ENSMUSG00000024663
N(alpha)-acetyltransferase 60, NatF catalytic subunit	ENSMUSG00000005982
kinesin light chain 4	ENSMUSG00000003546
Yip1 domain family, member 2	ENSMUSG00000032182
hedgehog acyltransferase-like	ENSMUSG00000032523
limb region 1 like	ENSMUSG00000022999
pyrophosphatase (inorganic) 2	ENSMUSG00000028013
selenoprotein N	ENSMUSG00000050989
ribosomal RNA processing 7 homolog A	ENSMUSG00000018040
WD repeat domain, phosphoinositide interacting 2	ENSMUSG00000029578
glycosyltransferase 8 domain containing 2	ENSMUSG00000020251
ubiquitin specific peptidase 38	ENSMUSG00000038250
MSS51 mitochondrial translational activator	ENSMUSG00000021815
meiotic kinetochore factor	ENSMUSG00000020332
RIKEN cDNA 4930402F06 gene	ENSMUSG00000079421
transmembrane protein 65	ENSMUSG00000062373
MORN repeat containing 3	ENSMUSG00000029477
coiled-coil domain containing 181	ENSMUSG00000026578
kelch repeat and BTB (POZ) domain containing 11	ENSMUSG00000055675
ATPase, H+ transporting, lysosomal V1 subunit E2	ENSMUSG00000053375
IQ motif containing with AAA domain	ENSMUSG00000026301
solute carrier family 35, member F6	ENSMUSG00000029175
outer dynein arm docking complex subunit 2	ENSMUSG00000061802
ubiquitin specific peptidase 47	ENSMUSG00000059263
RAB11 family interacting protein 2 (class I)	ENSMUSG00000040022
transmembrane (C-terminal) protease, serine 12	ENSMUSG00000045631
MINDY lysine 48 deubiquitinase 1	ENSMUSG00000038712
cancer/testis antigen 55	ENSMUSG00000055555
sterile alpha motif domain containing 13	ENSMUSG00000048652,ENSMUSG00000090202
ribonuclease, RNase A family, 10 (non-active)	ENSMUSG00000021872
purine-rich element binding protein G	ENSMUSG00000049184
meiotic double-stranded break formation protein 4	ENSMUSG00000043289
EF-hand calcium binding domain 10	ENSMUSG00000020562
kinesin family member 27	ENSMUSG00000060176
cilia and flagella associated protein 210	ENSMUSG00000070883
splicing factor 3a, subunit 3	ENSMUSG00000028902
zinc finger, CCHC domain containing 13	ENSMUSG00000031330
zinc finger and BTB domain containing 49	ENSMUSG00000029127
ubiquitin specific peptidase 50	ENSMUSG00000027364
RIKEN cDNA 4930505A04 gene	ENSMUSG00000040919
bridge-like lipid transfer protein family member 3B	ENSMUSG00000019951
LysM, putative peptidoglycan-binding, domain containing 4	ENSMUSG00000043831
monocyte to macrophage differentiation-associated 2	ENSMUSG00000039533
RIKEN cDNA 4930519F16 gene	ENSMUSG00000031325
nucleoredoxin-like 2	ENSMUSG00000021396
radial spoke head 10 homolog B (Chlamydomonas)	
regulation of nuclear pre-mRNA domain containing 2	ENSMUSG00000028106
Slx-like 1	ENSMUSG00000067909
major facilitator superfamily domain containing 13a	ENSMUSG00000025227
microRNA 423	ENSMUSG00000065518
microRNA 672	ENSMUSG00000076286
microRNA 711	ENSMUSG00000076142
microRNA 690	ENSMUSG00000076064
microRNA 532	ENSMUSG00000070139
microRNA 505	ENSMUSG00000070081
microRNA 665	ENSMUSG00000076313
microRNA 682	ENSMUSG00000076236
microRNA 615	ENSMUSG00000076010
microRNA 501	ENSMUSG00000076251
coiled-coil domain containing 146	ENSMUSG00000064280
meiosis specific with OB domains	ENSMUSG00000024155
spermatogenesis associated multipass transmembrane protein 4	ENSMUSG00000025051
sin3 associated polypeptide	ENSMUSG00000079165
ankyrin repeat domain 7	ENSMUSG00000029517
reproductive homeobox 2A	ENSMUSG00000051827
sperm acrosome associated 6	ENSMUSG00000080316
proline-rich polypeptide 3	ENSMUSG00000038500
ring finger protein 121	ENSMUSG00000070426
dual specificity phosphatase 18	ENSMUSG00000047205
dipeptidylpeptidase 3	ENSMUSG00000063904
ring finger protein 19B	ENSMUSG00000028793
translocase of outer mitochondrial membrane 20-like	ENSMUSG00000021078
protein phosphatase 1, regulatory inhibitor subunit 1C	ENSMUSG00000034683
BCDIN3 domain containing	ENSMUSG00000037525
zinc finger and BTB domain containing 3	ENSMUSG00000071661
centrosomal protein 43	ENSMUSG00000069135
RIKEN cDNA 4930550C14 gene	ENSMUSG00000005131
TATA-box binding protein associated factor, RNA polymerase I, D	ENSMUSG00000031939
PARP1 binding protein	ENSMUSG00000035365
ethanolamine kinase 1	ENSMUSG00000030275
family with sequence similarity 243	ENSMUSG00000051728
activating transcription factor 7 interacting protein 2	ENSMUSG00000039200
M-phase phosphoprotein 8	ENSMUSG00000079184
MAGE family member A13	ENSMUSG00000046180
boule homolog, RNA binding protein	ENSMUSG00000025977
secreted phosphoprotein 2	ENSMUSG00000026295
mitochondrial ribosomal protein L32	ENSMUSG00000015672
defensin beta 29	ENSMUSG00000044249
Rho GTPase activating protein 36	ENSMUSG00000036198
NADH:ubiquinone oxidoreductase core subunit S7	ENSMUSG00000020153
SLIT and NTRK-like family, member 5	ENSMUSG00000033214
Rho GTPase activating protein 12	ENSMUSG00000041225
NOP14 nucleolar protein	ENSMUSG00000036693
methyltransferase like 5	ENSMUSG00000051730
ADP-ribosylation factor-like 5A	ENSMUSG00000036093
TELO2 interacting protein 1	ENSMUSG00000027650
insulin-like growth factor binding protein-like 1	ENSMUSG00000035551
family with sequence similarity 183, member B	ENSMUSG00000049154
anaphase promoting complex C subunit 15	ENSMUSG00000030649
family with sequence similarity 166, member C	ENSMUSG00000029182
CFAP97 domain containing 1	ENSMUSG00000010841
activating signal cointegrator 1 complex subunit 2	ENSMUSG00000020412
phosphohistidine phosphatase 1	ENSMUSG00000036504
phosphoribosyl pyrophosphate synthetase 1-like 1	ENSMUSG00000092305
chemokine-like factor	ENSMUSG00000054400
synaptonemal complex central element protein 3	ENSMUSG00000078938
dynein light chain roadblock-type 2	ENSMUSG00000034467
sperm tail PG rich repeat containing 4	ENSMUSG00000036557
spermatogenesis associated 19	ENSMUSG00000031991
RIKEN cDNA 1700009N14 gene	ENSMUSG00000028287
cilia and flagella associated protein 126	ENSMUSG00000026649
5-oxoprolinase (ATP-hydrolysing)	ENSMUSG00000022562
profilin 3	ENSMUSG00000044444
heat shock protein, alpha-crystallin-related, B9	ENSMUSG00000017832
cytochrome c oxidase subunit 8C	ENSMUSG00000043319
MORN repeat containing 5	ENSMUSG00000026894
fatty acid binding protein 12	ENSMUSG00000027530
CKLF-like MARVEL transmembrane domain containing 2B	ENSMUSG00000035785
cilia and flagella associated protein 276	ENSMUSG00000027886
