	Description	Ensembl GeneIDs
16139	N-acetyltransferase 8B (putative, gene/pseudogene)	ENSG00000204872
16140	calcium binding protein 2	ENSG00000167791
16141	variable charge X-linked 2	ENSG00000177504
16142	variable charge X-linked 3A	ENSG00000169059
16143	phosphodiesterase 6H	ENSG00000139053
16144	SPOUT domain containing methyltransferase 1	ENSG00000198917
16145	CTD small phosphatase like 2	ENSG00000137770
16146	CWC15 spliceosome associated protein homolog	ENSG00000150316
16147	replication termination factor 2	ENSG00000022277
16148	transmembrane protein 14C	ENSG00000111843
16149	transmembrane protein 138	ENSG00000149483
16150	oxidative stress responsive serine rich 1	ENSG00000132823
16151	JNK1/MAPK8 associated membrane protein	ENSG00000050130
16152	tRNA methyltransferase O	ENSG00000136932
16153	PHD finger protein 7	ENSG00000010318
16154	mitochondrial fission process 1	ENSG00000242114
16155	zinc finger CCHC-type containing 17	ENSG00000121766
16156	selenocysteine lyase	ENSG00000132330
16157	zinc finger protein 581	ENSG00000171425
16158	cyclin dependent kinase 2 interacting protein	ENSG00000100865
16159	lengsin, lens protein with glutamine synthetase domain	ENSG00000146166
16160	5'-nucleotidase domain containing 3	ENSG00000111696
16161	ESF1 nucleolar pre-rRNA processing protein homolog	ENSG00000089048
16162	cutA divalent cation tolerance homolog	ENSG00000112514
16163	lipoyltransferase 1	ENSG00000144182
16164	tRNA methyltransferase 6 non-catalytic subunit	ENSG00000089195
16165	diphthamide biosynthesis 5	ENSG00000117543
16166	TATA-box binding protein associated factor 9b	ENSG00000187325
16167	neuronal vesicle trafficking associated 2	ENSG00000170091
16168	ubiquitin conjugating enzyme E2 D4 (putative)	ENSG00000078967
16169	CCZ1 homolog, vacuolar protein trafficking and biogenesis associated	ENSG00000122674
16170	solute carrier family 25 member 39	ENSG00000013306
16171	OTU deubiquitinase 6B	ENSG00000155100
16172	RNA binding motif protein X-linked 2	ENSG00000134597
16173	yippee like 5	ENSG00000119801
16174	mitochondrial ribosomal protein S33	ENSG00000090263
16175	FKBP prolyl isomerase 7	ENSG00000079150
16176	ankyrin repeat and SOCS box containing 1	ENSG00000065802
16177	ankyrin repeat and SOCS box containing 4	ENSG00000005981
16178	intraflagellar transport 25	ENSG00000081870
16179	tubulin polymerization promoting protein family member 3	ENSG00000159713
16180	protein associated with LIN7 2, MAGUK p55 family member	ENSG00000105926
16181	ornithine decarboxylase antizyme 3	ENSG00000143450
16182	trafficking protein particle complex subunit 2L	ENSG00000167515
16183	hdc homolog, cell cycle regulator	ENSG00000112406
16184	ATP synthase membrane subunit c locus 2	ENSG00000135390
16185	cytochrome b5 reductase 2	ENSG00000166394
16186	zinc finger protein 44	ENSG00000197857
16187	selenoprotein T	ENSG00000198843
16189	F-box protein 40	ENSG00000163833
16190	RNA polymerase III subunit K	ENSG00000161980
16191	HIG1 hypoxia inducible domain family member 1B	ENSG00000131097
16192	chromosome 9 open reading frame 78	ENSG00000136819
16193	synaptotagmin 17	ENSG00000103528
16194	G protein subunit gamma 13	ENSG00000127588
16195	transmembrane 7 superfamily member 3	ENSG00000064115
16196	ATP synthase membrane subunit c locus 3	ENSG00000154518
16197	acid sensing ion channel subunit family member 5	ENSG00000256394
16198	coenzyme Q3, methyltransferase	ENSG00000132423
16200	glutamyl-tRNA amidotransferase subunit B	ENSG00000059691
16201	vitrin	ENSG00000205221
16203	phosphoglycerate kinase 1, pseudogene 2	ENSG00000213290
16204	phosphoglucomutase 5	ENSG00000154330
16205	serpin family I member 2	ENSG00000114204
16206	phosphatidylinositol glycan anchor biosynthesis class C	ENSG00000135845
16207	CPX chromosome region candidate 1	ENSG00000147183
16208	interleukin 17D	ENSG00000172458
16209	nudix hydrolase 9	ENSG00000170502
16210	cysteine rich hydrophobic domain 1	ENSG00000204116
16211	transmembrane 6 superfamily member 1	ENSG00000136404
16212	pantothenate kinase 1	ENSG00000152782
16213	plasminogen like B2	ENSG00000125551
16214	plasminogen like B1	ENSG00000183281
16215	plexin B3	ENSG00000198753
16219	ripply transcriptional repressor 3	ENSG00000183145
16220	FXYD domain containing ion transport regulator 7	ENSG00000221946
16221	FXYD domain containing ion transport regulator 4	ENSG00000150201
16222	purinergic receptor P2Y13	ENSG00000181631
16223	chromosome 11 open reading frame 24	ENSG00000171067
16224	tripartite motif containing 34	ENSG00000258659
16225	claudin 22	ENSG00000177300
16226	RAB4B, member RAS oncogene family	ENSG00000167578
16227	ferritin heavy chain like 17	ENSG00000132446
16228	contactin 5	ENSG00000149972
16229	solute carrier family 37 member 1	ENSG00000160190
16230	RNA binding motif protein 11	ENSG00000185272
16231	chromosome 21 open reading frame 58	ENSG00000160298
16232	ybeY metalloendoribonuclease	ENSG00000182362
16233	small integral membrane protein 11	ENSG00000205670
16234	pancreatic lipase related protein 1	ENSG00000187021
16235	thrombospondin type laminin G domain and EAR repeats	ENSG00000175894
16236	SET domain containing 4	ENSG00000185917
16237	chloride intracellular channel 6	ENSG00000159212
16238	gamma-secretase activating protein	ENSG00000186088
16239	chromatin accessibility complex subunit 1	ENSG00000104472
16240	G protein-coupled receptor 88	ENSG00000181656
16241	ubiquitin like 3	ENSG00000122042
16242	H2B clustered histone 12 like	ENSG00000234289
16243	cancer/testis antigen family 45 member A6	ENSG00000278289
16244	cancer/testis antigen family 45 member A1	ENSG00000268940
16245	leucine rich adaptor protein 1	ENSG00000171357
16246	chromosome 21 open reading frame 91	ENSG00000154642
16247	syntrophin gamma 2	ENSG00000172554
16248	prostate and testis expressed opposite C1QTNF9B and MIPEP	ENSG00000205861
16249	G protein-coupled receptor 173	ENSG00000184194
16250	G protein-coupled receptor 85	ENSG00000164604
16251	dolichyl-phosphate mannosyltransferase subunit 3, regulatory	ENSG00000179085
16252	unc-93 homolog A	ENSG00000112494
16253	taste 2 receptor member 5	ENSG00000127366
16254	Yip1 domain family member 1	ENSG00000058799
16255	semaphorin 5B	ENSG00000082684
16256	glucose-fructose oxidoreductase domain containing 1	ENSG00000145990
16257	RNA binding motif protein 27	ENSG00000091009
16258	SAM and SH3 domain containing 3	ENSG00000122122
16259	ATPase family AAA domain containing 2B	ENSG00000119778
16260	F-box protein 42	ENSG00000037637
16261	Mov10 like RISC complex RNA helicase 1	ENSG00000073146
16262	TATA-box binding protein associated factor 7 like	ENSG00000102387
16263	proline rich 13	ENSG00000205352
16264	mitochondrial ribosomal protein S21	ENSG00000266472
16265	coiled-coil serine rich protein 2	ENSG00000107771
16266	ETAA1 activator of ATR kinase	ENSG00000143971
16267	spindlin family member 2A	ENSG00000147059
16268	ankyrin repeat and IBR domain containing 1	ENSG00000001629
16269	meiosis regulator for oocyte development	ENSG00000164654
16270	zinc finger AN1-type containing 6	ENSG00000086666
16271	armadillo repeat containing X-linked 6	ENSG00000198960
16272	notchless homolog 1	ENSG00000073536
16273	chondroitin polymerizing factor 2	ENSG00000033100
16274	UDP glucuronosyltransferase family 2 member B28	ENSG00000135226
16275	OTU deubiquitinase with linear linkage specificity like	ENSG00000145569
16276	neuralized E3 ubiquitin protein ligase 1B	ENSG00000214357
16277	HEAT repeat containing 5B	ENSG00000008869
16278	zinc finger DHHC-type palmitoyltransferase 13	ENSG00000177054
16279	EPB41L4A divergent transcript	ENSG00000278921
16280	ras homolog family member F, filopodia associated	ENSG00000139725
16281	protocadherin 18	ENSG00000189184
16282	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1	ENSG00000146151
16283	mitochondrial translation release factor 1 like	ENSG00000112031
16284	pseudouridine synthase 7	ENSG00000091127
16285	coiled-coil domain containing 93	ENSG00000125633
16286	WD repeat domain 44	ENSG00000131725
16287	ankyrin repeat domain 16	ENSG00000134461
16288	asparagine synthetase domain containing 1	ENSG00000138381
16289	MIER family member 2	ENSG00000105556
16290	mitochondrial ribosomal protein L50	ENSG00000136897
16291	shieldin complex subunit 2	ENSG00000122376
16292	family with sequence similarity 193 member B	ENSG00000146067
16293	ring finger and CCCH-type domains 2	ENSG00000056586
16294	translocase of outer mitochondrial membrane 7	ENSG00000196683
16295	cysteine rich C-terminal 1	ENSG00000169509
16296	myotubularin related protein 12	ENSG00000150712
16297	ring finger protein 186	ENSG00000178828
16298	sidekick cell adhesion molecule 2	ENSG00000069188
16299	N-terminal EF-hand calcium binding protein 2	ENSG00000103154
16300	WD repeat domain 5B	ENSG00000196981
16301	DEAD-box helicase 49	ENSG00000105671
16302	small glutamine rich tetratricopeptide repeat co-chaperone beta	ENSG00000197860
16303	spermatogenesis associated 6	ENSG00000132122
16305	equatorin	ENSG00000120160
16306	matrix remodeling associated 8	ENSG00000162576
16307	Nedd4 family interacting protein 2	ENSG00000102471
16308	cyclin J	ENSG00000107443
16309	F-box and leucine rich repeat protein 19	ENSG00000099364
16310	V-set and immunoglobulin domain containing 10	ENSG00000176834
16311	hes family bHLH transcription factor 2	ENSG00000069812
16312	microtubule associated protein 10	ENSG00000212916
16313	MINDY lysine 48 deubiquitinase 2	ENSG00000128923
16314	TBC1 domain family member 13	ENSG00000107021
16315	round spermatid basic protein 1	ENSG00000081019
16316	leucine rich repeat neuronal 3	ENSG00000173114
16317	GTP binding protein 2	ENSG00000172432
16318	carnitine O-octanoyltransferase	ENSG00000005469
16319	zinc finger HIT-type containing 6	ENSG00000117174
16320	protein phosphatase with EF-hand domain 2	ENSG00000156194
16321	GPN-loop GTPase 2	ENSG00000142751
16322	NK1 homeobox 1	ENSG00000235608
16323	solute carrier family 35 member F2	ENSG00000110660
16324	RAB39A, member RAS oncogene family	ENSG00000179331
16325	leptin receptor overlapping transcript	ENSG00000213625
16326	protein phosphatase with EF-hand domain 1	ENSG00000086717
16327	kelch domain containing 4	ENSG00000104731
16328	zinc finger RANBP2-type containing 1	ENSG00000019995
16329	BTG anti-proliferation factor 4	ENSG00000137707
16330	DIRAS family GTPase 2	ENSG00000165023
16331	cilia and flagella associated protein 46	ENSG00000171811
16332	NSE4 homolog A, SMC5-SMC6 complex component	ENSG00000107672
16333	alkB homolog 4, lysine demethylase	ENSG00000160993
16334	BLOC-1 related complex subunit 6	ENSG00000196544
16335	potassium channel tetramerization domain containing 9	ENSG00000104756
16336	mediator complex subunit 18	ENSG00000130772
16337	dachsous cadherin-related 2	ENSG00000197410
16338	mbt domain containing 1	ENSG00000011258
16339	GIPC PDZ domain containing family member 2	ENSG00000137960
16340	aftiphilin	ENSG00000119844
16341	zinc finger protein 280D	ENSG00000137871
16342	zinc finger CCHC-type containing 10	ENSG00000155329
16343	SWT1 RNA endoribonuclease homolog	ENSG00000116668
16344	cadherin related family member 2	ENSG00000074276
16345	gypsy retrotransposon integrase 1	ENSG00000145723
16346	neurexophilin and PC-esterase domain family member 4	ENSG00000137634
16347	nucleoporin 62 C-terminal like	ENSG00000198088
16348	bestrophin 2	ENSG00000039987
16349	SSX family member 4B	ENSG00000269791
16350	ganglioside induced differentiation associated protein 2	ENSG00000196505
16351	B-box and SPRY domain containing	ENSG00000119411
16352	WW domain binding protein 1 like	ENSG00000166272
16353	leucine rich repeat containing 49	ENSG00000137821
16354	basic, immunoglobulin-like variable motif containing	ENSG00000134897
16355	major facilitator superfamily domain containing 6	ENSG00000151690
16356	SID1 transmembrane family member 1	ENSG00000072858
16357	Rho guanine nucleotide exchange factor 38	ENSG00000236699
16358	differentially expressed in FDCP 8 homolog	ENSG00000140995
16359	ankyrin repeat domain 49	ENSG00000168876
16360	progestin and adipoQ receptor family member 5	ENSG00000137819
16361	WD repeat domain 55	ENSG00000120314
16362	family with sequence similarity 83 member E	ENSG00000105523
16363	glycerophosphodiester phosphodiesterase domain containing 2	ENSG00000130055
16364	elongator acetyltransferase complex subunit 6	ENSG00000163832
16365	SLX1 homolog A, structure-specific endonuclease subunit	ENSG00000132207
16366	membrane spanning 4-domains A12	ENSG00000071203
16367	RNA polymerase II subunit J3	ENSG00000285437
16368	G-patch domain containing 4 (gene/pseudogene)	ENSG00000160818
16369	protein phosphatase 1 regulatory inhibitor subunit 14D	ENSG00000166143
16370	transmembrane protein 214	ENSG00000119777
16371	EPS8 like 1	ENSG00000131037
16372	phosphatidylinositol glycan anchor biosynthesis class G	ENSG00000174227
16373	palmdelphin	ENSG00000099260
16374	centlein	ENSG00000044459
16375	DDB1 and CUL4 associated factor 16	ENSG00000163257
16376	zinc finger CCHC-type containing 2	ENSG00000141664
16377	suppression of tumorigenicity 7 like	ENSG00000007341
16378	CWC25 spliceosome associated protein homolog	ENSG00000273559
16379	retinol saturase	ENSG00000042445
16380	TBC1 domain family member 8B	ENSG00000133138
16381	bridge-like lipid transfer protein family member 3A	ENSG00000065060
16382	INO80 complex subunit D	ENSG00000114933
16383	myotubularin related protein 10	ENSG00000166912
16384	solute carrier family 66 member 1	ENSG00000040487
16385	lymphocyte transmembrane adaptor 1	ENSG00000122188
16386	transcription activation suppressor family member 2	ENSG00000108021
16387	ribonuclease P and MRP subunit p25	ENSG00000178718
16388	focadhesin	ENSG00000188352
16389	transmembrane protein 260	ENSG00000070269
16390	dynein axonemal assembly factor 5	ENSG00000164818
16391	chromosome transmission fidelity factor 8	ENSG00000168802
16392	Ras interacting protein 1	ENSG00000105538
16393	Lck interacting transmembrane adaptor 1	ENSG00000203896
16394	zinc finger and SCAN domain containing 32	ENSG00000140987
16395	3'(2'), 5'-bisphosphate nucleotidase 2	ENSG00000104331
16396	transmembrane protein 161A	ENSG00000064545
16397	HAUS augmin like complex subunit 4	ENSG00000092036
16398	exonuclease 3'-5' domain containing 3	ENSG00000187609
16399	rhomboid like 2	ENSG00000158315
16400	KAT8 regulatory NSL complex subunit 2	ENSG00000139620
16401	COMM domain containing 4	ENSG00000140365
16402	actin binding transcription modulator	ENSG00000119328
16403	DnaJ heat shock protein family (Hsp40) member C28	ENSG00000177692
16404	solute carrier family 41 member 3	ENSG00000114544
16405	lysophosphatidylcholine acyltransferase 2	ENSG00000087253
16406	mitochondrial ribosomal protein L16	ENSG00000166902
16407	COMM domain containing 8	ENSG00000169019
16408	tRNA selenocysteine 1 associated protein 1	ENSG00000180098
16409	odr-4 GPCR localization factor homolog	ENSG00000157181
16410	family with sequence similarity 120C	ENSG00000184083
16411	AFG2 interacting ribosome maturation factor	ENSG00000116922
16412	poly(ADP-ribose) polymerase family member 16	ENSG00000138617
16413	transmembrane protein 160	ENSG00000130748
16414	gem nuclear organelle associated protein 8	ENSG00000046647
16415	slingshot protein phosphatase 3	ENSG00000172830
16416	uridine-cytidine kinase 1 like 1	ENSG00000198276
16417	chromosome 1 open reading frame 56	ENSG00000143443
16418	phosphatidylinositol glycan anchor biosynthesis class X	ENSG00000163964
16419	cancer/testis antigen 55	ENSG00000169551
16420	transmembrane protein 132A	ENSG00000006118
16421	adipose secreted signaling protein	ENSG00000101220
16422	solute carrier family 35 member F6	ENSG00000213699
16423	phospholipase A and acyltransferase 2	ENSG00000133328
16424	nicotinamide riboside kinase 1	ENSG00000106733
16425	host cell factor C1 regulator 1	ENSG00000103145
16426	CXXC motif containing zinc binding protein	ENSG00000162384
16427	acyl-CoA synthetase medium chain family member 5	ENSG00000183549
16428	zinc finger and SCAN domain containing 2	ENSG00000176371
16429	3-oxoacyl-ACP synthase, mitochondrial	ENSG00000151093
16430	transmembrane and coiled-coil domains 3	ENSG00000150403
16431	PAK1 interacting protein 1	ENSG00000111845
16432	tRNA methyltransferase 61B	ENSG00000171103
16433	family with sequence similarity 118 member A	ENSG00000100376
16434	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	ENSG00000138642
16435	protein phosphatase 2 regulatory subunit B''gamma	ENSG00000092020
16436	mitochondrial calcium uniporter dominant negative subunit beta	ENSG00000005059
16437	pre-mRNA processing factor 39	ENSG00000185246
16438	HEAT repeat containing 3	ENSG00000155393
16439	chromosome 17 open reading frame 80	ENSG00000141219
16440	F-box protein 34	ENSG00000178974
16441	solute carrier family 35 member A5	ENSG00000138459
16442	molybdenum cofactor sulfurase	ENSG00000075643
16443	nucleolar protein 8	ENSG00000198000
16444	coiled-coil domain containing 40	ENSG00000141519
16445	tRNA methyltransferase 12 homolog	ENSG00000183665
16446	epsin 3	ENSG00000049283
16447	pleckstrin homology domain containing B2	ENSG00000115762
16448	VPS37C subunit of ESCRT-I	ENSG00000167987
16449	required for excision 1-B domain containing	ENSG00000006015
16450	NRDE-2, necessary for RNA interference, domain containing	ENSG00000119720
16451	mitochondrial ribosomal protein L20	ENSG00000242485
16452	zwilch kinetochore protein	ENSG00000174442
16453	crystallin beta-gamma domain containing 2	ENSG00000176092
16454	sushi domain containing 4	ENSG00000143502
16455	zinc finger CW-type and PWWP domain containing 1	ENSG00000078487
16456	coiled-coil domain containing 157	ENSG00000187860
16457	negative regulator of P-body association	ENSG00000204272
16458	pyruvate dehydrogenase phosphatase regulatory subunit	ENSG00000090857
16459	ecto-NOX disulfide-thiol exchanger 1	ENSG00000120658
16460	transmembrane protein 248	ENSG00000106609
16461	DET1 partner of COP1 E3 ubiquitin ligase	ENSG00000140543
16462	transmembrane protein 45A	ENSG00000181458
16463	FEZ family zinc finger 2	ENSG00000153266
16464	sine oculis binding protein homolog	ENSG00000112320
16465	RPA1 related single stranded DNA binding protein, X-linked	ENSG00000147231
16466	coiled-coil domain containing 186	ENSG00000165813
16467	protein phosphatase 1 regulatory subunit 3D	ENSG00000132825
16468	mediator complex subunit 9	ENSG00000141026
16469	transmembrane protein 51	ENSG00000171729
16470	N-terminal glutamine amidase 1	ENSG00000156795
16471	G-patch domain containing 1	ENSG00000076650
16472	sterile alpha motif domain containing 4B	ENSG00000179134
16473	endogenous Bornavirus like nucleoprotein 2	ENSG00000255423
16474	WD repeat domain 70	ENSG00000082068
16475	distal membrane arm assembly component 2	ENSG00000105341
16476	Ral GEF with PH domain and SH3 binding motif 2	ENSG00000116191
16477	G-patch domain containing 2	ENSG00000092978
16478	schlafen family member 12	ENSG00000172123
16479	BSD domain containing 1	ENSG00000160058
16480	pleckstrin homology domain containing J1	ENSG00000104886
16481	XK related 8	ENSG00000158156
16482	transmembrane protein 39B	ENSG00000121775
16483	pre-mRNA processing factor 38B	ENSG00000134186
16484	akirin 2	ENSG00000135334
16485	outer dynein arm docking complex subunit 2	ENSG00000169126
16486	La ribonucleoprotein 1B	ENSG00000138709
16487	S1 RNA binding domain 1	ENSG00000068784
16488	fidgetin, microtubule severing factor	ENSG00000182263
16489	family with sequence similarity 90 member A1	ENSG00000171847
16490	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1	ENSG00000163516
16491	HAUS augmin like complex subunit 2	ENSG00000137814
16492	leucine rich repeat containing 8 VRAC subunit D	ENSG00000171492
16493	zinc finger DHHC-type palmitoyltransferase 4	ENSG00000136247
16494	RNA binding motif protein 23	ENSG00000100461
16495	ubiquitin protein ligase E3 component n-recognin 7	ENSG00000012963
16496	DALR anticodon binding domain containing 3	ENSG00000178149
16497	armadillo repeat containing 1	ENSG00000104442
16498	Rho guanine nucleotide exchange factor 10 like	ENSG00000074964
16499	SHQ1, H/ACA ribonucleoprotein assembly factor	ENSG00000144736
16500	centromere protein Q	ENSG00000031691
16501	mitochondrial ribosomal protein S18A	ENSG00000096080
16502	TBCC domain containing 1	ENSG00000113838
16503	dynein axonemal assembly factor 2	ENSG00000165506
16504	mitochondrial ribosomal protein S10	ENSG00000048544
16505	integrator complex subunit 10	ENSG00000104613
16506	kelch like family member 11	ENSG00000178502
16507	SEC61 translocon subunit alpha 2	ENSG00000065665
16508	lines homolog 1	ENSG00000140471
16509	SMG8 nonsense mediated mRNA decay factor	ENSG00000167447
16510	ring finger protein 220	ENSG00000187147
16511	double zinc ribbon and ankyrin repeat domains 1	ENSG00000089091
16512	solute carrier family 25 member 36	ENSG00000114120
16513	RIC8 guanine nucleotide exchange factor B	ENSG00000111785
16514	nudix hydrolase 11	ENSG00000196368
16515	DnaJ heat shock protein family (Hsp40) member C17	ENSG00000104129
16516	eva-1 homolog B	ENSG00000142694
16517	coiled-coil domain containing 198	ENSG00000100557
16518	retroelement silencing factor 1	ENSG00000174718
16519	family with sequence similarity 86 member C1, pseudogene	ENSG00000158483
16520	leucine rich repeat LGI family member 2	ENSG00000153012
16521	golgi phosphoprotein 3 like	ENSG00000143457
16522	zinc finger protein 532	ENSG00000074657
16523	strawberry notch homolog 1	ENSG00000139697
16524	defective in cullin neddylation 1 domain containing 2	ENSG00000150401
16525	NKAP domain containing 1	ENSG00000150776
16526	exonuclease 3'-5' domain containing 2	ENSG00000081177
16527	kelch domain containing 8A	ENSG00000162873
16528	leucine rich repeat containing 20	ENSG00000172731
16529	ethanolamine kinase 2	ENSG00000143845
16530	ribonucleoprotein, PTB binding 2	ENSG00000162437
16531	PNMA family member 8A	ENSG00000182013
16532	pantothenate kinase 4 (inactive)	ENSG00000157881
16533	ubiquitin specific peptidase 40	ENSG00000085982
16534	coiled-coil domain containing 87	ENSG00000182791
16535	solute carrier family 38 member 7	ENSG00000103042
16536	2-oxoglutarate and iron dependent oxygenase domain containing 1	ENSG00000087263
16537	coiled-coil domain containing 25	ENSG00000147419
16538	proton activated chloride channel 1	ENSG00000065600
16539	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	ENSG00000203880
16540	tRNA-yW synthesizing protein 1 homolog	ENSG00000198874
16541	transmembrane protein 39A	ENSG00000176142
16542	dynein axonemal intermediate chain 7	ENSG00000118307
16543	transmembrane protein 143	ENSG00000161558
16544	trafficking protein particle complex subunit 14	ENSG00000146826
16545	transmembrane protein 100	ENSG00000166292
16546	glutaminyl-tRNA amidotransferase subunit QRSL1	ENSG00000130348
16547	CWF19 like cell cycle control factor 1	ENSG00000095485
16548	transmembrane protein 140	ENSG00000146859
16549	RNA binding motif protein 41	ENSG00000089682
16550	chromosome 4 open reading frame 19	ENSG00000154274
16551	transmembrane protein 40	ENSG00000088726
16552	ataxin 7 like 3B	ENSG00000253719
16553	acyl-CoA oxidase like	ENSG00000153093
16554	UEV and lactate/malate dehyrogenase domains	ENSG00000151116
16555	kelch like family member 26	ENSG00000167487
16556	TBC1 domain family member 19	ENSG00000109680
16557	coiled-coil domain containing 91	ENSG00000123106
16558	ring finger protein 121	ENSG00000137522
16559	oleoyl-ACP hydrolase	ENSG00000152463
16560	GTPase, IMAP family member 4	ENSG00000133574
16561	DEAD-box helicase 19A	ENSG00000168872
16562	zinc finger protein 444	ENSG00000167685
16563	riboflavin kinase	ENSG00000135002
16564	calcineurin like phosphoesterase domain containing 1	ENSG00000103381
16565	PRR5-ARHGAP8 readthrough	ENSG00000248405
16566	adaptor related protein complex 5 subunit sigma 1	ENSG00000125843
16567	translation machinery associated 16 homolog	ENSG00000198498
16568	MIS18 binding protein 1	ENSG00000129534
16569	chromosome 5 open reading frame 22	ENSG00000082213
16570	ATP binding cassette subfamily F member 3	ENSG00000161204
16571	UFM1 specific peptidase 2	ENSG00000109775
16572	1-acylglycerol-3-phosphate O-acyltransferase 5	ENSG00000155189
16573	meiosis specific nuclear structural 1	ENSG00000138587
16574	biogenesis of lysosomal organelles complex 1 subunit 4	ENSG00000186222
16575	alkaline ceramidase 3	ENSG00000078124
16576	nipsnap homolog 3B	ENSG00000165028
16577	F-box and leucine rich repeat protein 8	ENSG00000135722
16578	shiftless antiviral inhibitor of ribosomal frameshifting	ENSG00000130813
16579	phosphatidylinositol specific phospholipase C X domain containing 1	ENSG00000182378
16580	zinc finger GRF-type containing 1	ENSG00000138658
16581	t-complex 11 like 1	ENSG00000176148
16582	protein phosphatase 3 regulatory subunit B, beta	ENSG00000188386
16583	vanin 3, pseudogene	ENSG00000093134
16584	serine/threonine kinase 32B	ENSG00000152953
16585	coordinator of PRMT5 and differentiation stimulator	ENSG00000172301
16586	solute carrier family 22 member 15	ENSG00000163393
16587	TBC1 domain family member 2	ENSG00000095383
16588	transmembrane protein 63B	ENSG00000137216
16589	impact RWD domain protein	ENSG00000154059
16590	transmembrane protein 176A	ENSG00000002933
16591	transmembrane and coiled-coil domains 6	ENSG00000113119
16593	JPX transcript, XIST activator	ENSG00000225470
16594	nuclear cap binding subunit 3	ENSG00000074356
16595	microRNA 450a-1	ENSG00000199132
16596	F-box protein 48	ENSG00000204923
16597	adaptor related protein complex 1 associated regulatory protein	ENSG00000138660
16598	STE20 related adaptor beta	ENSG00000082146
16599	calcium/calmodulin dependent protein kinase II inhibitor 1	ENSG00000162545
16600	DnaJ heat shock protein family (Hsp40) member A4	ENSG00000140403
16601	NADH:ubiquinone oxidoreductase complex assembly factor 7	ENSG00000003509
16602	ethanolamine kinase 1	ENSG00000139163
16603	carbohydrate sulfotransferase 12	ENSG00000136213
16604	G protein-coupled receptor class C group 5 member D	ENSG00000111291
16605	solute carrier family 35 member E3	ENSG00000175782
16606	sarcoma antigen 1	ENSG00000181433
16607	acid sensing ion channel subunit family member 4	ENSG00000072182
16608	elaC ribonuclease Z 1	ENSG00000141642
16609	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2	ENSG00000155099
16610	SV2 related protein	ENSG00000166111
16611	ELMO domain containing 1	ENSG00000110675
16612	KCNQ1 downstream neighbor	ENSG00000237941
16613	plexin A3	ENSG00000130827
16614	HAUS augmin like complex subunit 7	ENSG00000213397
16615	CDC42 binding protein kinase gamma	ENSG00000171219
16616	zinc finger protein 821	ENSG00000102984
16617	dynein axonemal heavy chain 3	ENSG00000158486
16618	CCR4-NOT transcription complex subunit 11	ENSG00000158435
16619	CDV3 homolog	ENSG00000091527
16620	kinesin family member 27	ENSG00000165115
16621	mediator complex subunit 29	ENSG00000063322
16622	DExD/H-box helicase 60	ENSG00000137628
16623	zinc finger protein 280C	ENSG00000056277
16624	VPS50 subunit of EARP/GARPII complex	ENSG00000004766
16625	myotubularin related protein 8	ENSG00000102043
16626	proline rich 5	ENSG00000186654
16627	dedicator of cytokinesis 10	ENSG00000135905
16628	tetratricopeptide repeat domain 27	ENSG00000018699
16629	THUMP domain containing 1	ENSG00000066654
16630	zinc finger DHHC-type palmitoyltransferase 7	ENSG00000153786
16631	zinc finger protein 407	ENSG00000215421
16632	proline rich nuclear receptor coactivator 2	ENSG00000189266
16633	leucine rich repeat containing 40	ENSG00000066557
16634	G2/M-phase specific E3 ubiquitin protein ligase	ENSG00000092140
16635	TBC1 domain family member 22B	ENSG00000065491
16636	KRAB box domain containing 4	ENSG00000147121
16637	syntabulin	ENSG00000147642
16638	RAB20, member RAS oncogene family	ENSG00000139832
16639	phosphatidylinositol glycan anchor biosynthesis class V	ENSG00000060642
16640	solute carrier family 48 member 1	ENSG00000211584
16641	breast carcinoma amplified sequence 4	ENSG00000124243
16642	integrator complex subunit 8	ENSG00000164941
16643	zinc finger protein 692	ENSG00000171163
16644	zinc finger protein 446	ENSG00000083838
16645	cell division cycle 37 like 1, HSP90 cochaperone	ENSG00000106993
16646	DENN domain containing 4C	ENSG00000137145
16647	G-patch domain containing 2 like	ENSG00000089916
16648	NBPF member 1	ENSG00000219481
16649	RUN and FYVE domain containing 2	ENSG00000204130
16650	KAT8 regulatory NSL complex subunit 3	ENSG00000114982
16651	melanoregulin	ENSG00000118242
16652	NOP2/Sun RNA methyltransferase 5	ENSG00000130305
16653	Rap associating with DIL domain	ENSG00000157927
16654	Rho guanine nucleotide exchange factor 40	ENSG00000165801
16655	YJU2 splicing factor homolog	ENSG00000105248
16656	NECAP endocytosis associated 2	ENSG00000157191
16657	kelch repeat and BTB domain containing 4	ENSG00000123444
16658	fatty acyl-CoA reductase 2	ENSG00000064763
16659	zinc finger protein 334	ENSG00000198185
16660	limb development membrane protein 1 like	ENSG00000139636
16661	RNA polymerase III subunit E	ENSG00000058600
16662	SMC5-SMC6 complex localization factor 2	ENSG00000119906
16663	integrator complex subunit 13	ENSG00000064102
16664	NEDD4 binding protein 2	ENSG00000078177
16665	family with sequence similarity 222 member B	ENSG00000173065
